Rank,Release Group,Worldwide,Domestic,%,Foreign,%
81,Eiga Entotsu Machi no Poupelle,"$13,668,706",-,-,"$13,668,706",100%
82,#Alive,"$13,416,285",-,-,"$13,416,285",100%
83,Howling Village,"$13,394,556",-,-,"$13,394,556",100%
84,Pokémon the Movie: Secrets of the Jungle,"$12,884,762",-,-,"$12,884,762",100%
85,Collectors,"$12,765,370",-,-,"$12,765,370",100%
86,Samjin Company English Class,"$12,761,386",-,-,"$12,761,386",100%
87,Come Play,"$12,244,856","$9,849,535",80.4%,"$2,395,321",19.6%
88,Ducobu 3,"$12,157,793",-,-,"$12,157,793",100%
89,Legend No. 17,"$11,811,335",-,-,"$11,811,335",100%
90,Wotakoi: Love Is Hard for Otaku,"$11,702,371",-,-,"$11,702,371",100%
91,Padre no hay más que uno 2: La llegada de la suegra,"$11,700,000",-,-,"$11,700,000",100%
92,The Hunt,"$11,230,580","$5,812,500",51.8%,"$5,418,080",48.2%
93,The Voice of Sin,"$10,983,063",-,-,"$10,983,063",100%
94,Me contro Te - Il film: La vendetta del Signor S,"$10,779,891",-,-,"$10,779,891",100%
95,Impractical Jokers: The Movie,"$10,691,091","$10,691,091",100%,-,-
96,Shinchan: Crash! Scribble Kingdom and Almost Four Heroes,"$10,628,463",-,-,"$10,628,463",100%
97,One Second,"$10,600,000",-,-,"$10,600,000",100%
98,Honest Candidate,"$10,597,464",-,-,"$10,597,464",100%
99,Let Him Go,"$10,439,398","$9,358,025",89.6%,"$1,081,373",10.4%
100,Street Dancer 3D,"$10,339,127",-,-,"$10,339,127",100%
101,My Spy,"$10,200,000",-,-,"$10,200,000",100%
102,The Asadas,"$10,066,797",-,-,"$10,066,797",100%
103,Fire,"$10,066,550",-,-,"$10,066,550",100%
104,Stolen Identity 2,"$9,687,188",-,-,"$9,687,188",100%
105,10 Days with Dad,"$9,468,263",$856,<0.1%,"$9,467,407",100%
106,365 Days,"$9,458,590",-,-,"$9,458,590",100%
107,Secret Zoo,"$9,457,317",-,-,"$9,457,317",100%
108,Okay Madam,"$9,433,525",-,-,"$9,433,525",100%
109,L'appel de la forêt,"$9,317,347",-,-,"$9,317,347",100%
110,Bigfoot Family,"$9,197,501",-,-,"$9,197,501",100%
111,Inception 10th Anniversary re-release,"$9,100,000",-,-,"$9,100,000",100%
112,Break the Silence: The Movie,"$8,954,345",-,-,"$8,954,345",100%
113,The Closet,"$8,948,595",-,-,"$8,948,595",100%
114,Downhill,"$8,899,195","$8,287,061",93.1%,"$612,134",6.9%
115,I Hate Summer,"$8,885,798",-,-,"$8,885,798",100%
116,Les blagues de Toto,"$8,859,185",-,-,"$8,859,185",100%
117,News of the World,"$8,841,865","$8,841,865",100%,-,-
118,30 jours max,"$8,811,671",-,-,"$8,811,671",100%
119,Eltilerin Savasi,"$8,613,864",-,-,"$8,613,864",100%
120,The Secret Garden,"$8,400,526",-,-,"$8,400,526",100%
121,Malang,"$8,399,765",-,-,"$8,399,765",100%
122,Malasaña 32,"$8,235,066",-,-,"$8,235,066",100%
123,Your Eyes Tell,"$8,005,317",-,-,"$8,005,317",100%
124,AI Amok,"$7,932,191",-,-,"$7,932,191",100%
125,The Lost Prince,"$7,837,980",-,-,"$7,837,980",100%
126,The Marriage Escape,"$7,760,946",-,-,"$7,760,946",100%
127,Spirited Away Studio Ghibli Fest 2020,"$7,730,108",-,-,"$7,730,108",100%
128,Neposredstvenno Kakha,"$7,727,683",-,-,"$7,727,683",100%
129,Princess Mononoke Studio Ghibli Fest 2020,"$7,673,207",-,-,"$7,673,207",100%
130,The Heist of the Century,"$7,558,890",-,-,"$7,558,890",100%
131,Fukushima 50,"$7,494,243",-,-,"$7,494,243",100%
132,The (UN)perfect Guy,"$7,154,649",-,-,"$7,154,649",100%
133,De Gaulle,"$7,145,454",-,-,"$7,145,454",100%
134,Back to the Wharf,"$7,090,000",-,-,"$7,090,000",100%
135,Adu,"$7,085,946",-,-,"$7,085,946",100%
136,The Best Years,"$7,035,246",-,-,"$7,035,246",100%
137,Spycies,"$6,978,537",-,-,"$6,978,537",100%
138,Jim Button and the Wild 13,"$6,953,442",-,-,"$6,953,442",100%
139,Antebellum,"$6,852,361",-,-,"$6,852,361",100%
140,Psy 3: W imie zasad,"$6,725,146",-,-,"$6,725,146",100%
141,Tiec Trang Mau,"$6,709,383",-,-,"$6,709,383",100%
142,Innocence,"$6,659,968",-,-,"$6,659,968",100%
143,Shubh Mangal Zyada Saavdhan,"$6,574,905",-,-,"$6,574,905",100%
144,Chhapaak,"$6,532,100","$604,334",9.3%,"$5,927,766",90.7%
145,Silver Skates,"$6,480,946",-,-,"$6,480,946",100%
146,Hammamet,"$6,434,874",-,-,"$6,434,874",100%
147,Lindenberg! Mach dein Ding,"$6,404,964",-,-,"$6,404,964",100%
148,Midnight Swan,"$6,397,065",-,-,"$6,397,065",100%
149,Nausicaä of the Valley of the Wind 2020 Re-release,"$6,395,525",-,-,"$6,395,525",100%
150,"Love Me, Love Me Not","$6,352,692",-,-,"$6,352,692",100%
151,Tout simplement noir,"$6,323,750",-,-,"$6,323,750",100%
152,"My Donkey, My Lover & I","$6,299,870",-,-,"$6,299,870",100%
153,My Boyfriend's Meds,"$6,292,780","$2,971,116",47.2%,"$3,321,664",52.8%
154,Bill & Ted Face the Music,"$6,267,091","$3,439,660",54.9%,"$2,827,431",45.1%
155,Hotel Belgrade,"$6,085,276",-,-,"$6,085,276",100%
156,The Legacy Of Dr. Death: Black File,"$6,024,046",-,-,"$6,024,046",100%
157,The Rhythm Section,"$5,989,583","$5,437,971",90.8%,"$551,612",9.2%
158,Jak zostalem gangsterem. Historia prawdziwa,"$5,975,729",-,-,"$5,975,729",100%
159,How to Be a Good Wife,"$5,892,643",-,-,"$5,892,643",100%
160,Twiceborn,"$5,880,157","$11,527",0.2%,"$5,868,630",99.8%
161,The Royal Bride,"$5,830,719",-,-,"$5,830,719",100%
162,Beasts Clawing at Straws,"$5,796,059",-,-,"$5,796,059",100%
163,Yowamushi Pedal: The Movie 2020 Re-release,"$5,624,218",-,-,"$5,624,218",100%
164,Last Letter,"$5,588,040",-,-,"$5,588,040",100%
165,Dragon Rider,"$5,552,272",-,-,"$5,552,272",100%
166,Klassikokkutulek 2: Pulmad ja matused,"$5,543,147",-,-,"$5,543,147",100%
167,Hocus Pocus 2020 Re-release,"$5,432,992","$4,828,000",88.9%,"$604,992",11.1%
168,Divorce Club,"$5,316,313",-,-,"$5,316,313",100%
169,Cindy La Regia,"$5,222,322",-,-,"$5,222,322",100%
170,Love Aaj Kal,"$5,120,794",-,-,"$5,120,794",100%
171,Masked Ward,"$5,106,794",-,-,"$5,106,794",100%
172,Ayyappanum Koshiyum,"$5,088,713",-,-,"$5,088,713",100%
173,Baba Parasi,"$5,084,342",-,-,"$5,084,342",100%
174,Die Känguru-Chroniken,"$5,081,127",-,-,"$5,081,127",100%
175,The Real Exorcist,"$5,035,830",-,-,"$5,035,830",100%
176,Mayday,"$5,011,408",-,-,"$5,011,408",100%
177,Bheeshma,"$4,997,080",-,-,"$4,997,080",100%
178,Made in Abyss: Dawn of the Deep Soul,"$4,971,635",-,-,"$4,971,635",100%
179,Promising Young Woman,"$4,955,839","$3,579,465",72.2%,"$1,376,374",27.8%
180,Streltsov,"$4,952,355",-,-,"$4,952,355",100%
181,Tengaramon,"$4,948,225",-,-,"$4,948,225",100%
182,Panga,"$4,886,124","$582,720",11.9%,"$4,303,404",88.1%
183,Fatale,"$4,858,602","$4,858,602",100%,-,-
184,Mama Weed,"$4,827,033",-,-,"$4,827,033",100%
185,The SpongeBob Movie: Sponge on the Run,"$4,810,790","$4,810,790",100%,-,-
186,The Vets,"$4,788,826",-,-,"$4,788,826",100%
187,The Broken Hearts Gallery,"$4,781,389","$4,067,442",85.1%,"$713,947",14.9%
188,Gladiator 20th Anniversary,"$4,779,952",-,-,"$4,779,952",100%
189,Intruder,"$4,751,103",-,-,"$4,751,103",100%
190,Granny Nanny,"$4,653,879",$432,<0.1%,"$4,653,447",100%
191,100% Wolf,"$4,608,579","$512,805",11.1%,"$4,095,774",88.9%
192,The Tales for Old and Young,"$4,601,068",-,-,"$4,601,068",100%
193,Military Wives,"$4,549,863",-,-,"$4,549,863",100%
194,Jawaani Jaaneman,"$4,495,290",-,-,"$4,495,290",100%
195,Not Quite Dead Yet,"$4,405,016",-,-,"$4,405,016",100%
196,Bhoot: Part One - The Haunted Ship,"$4,377,328",-,-,"$4,377,328",100%
197,The Golden Holiday,"$4,356,489",-,-,"$4,356,489",100%
198,Mr. Zoo: The Missing VIP,"$4,354,691",-,-,"$4,354,691",100%
199,The Wretched,"$4,344,913","$1,814,193",41.8%,"$2,530,720",58.2%
200,Delete History,"$4,330,672",-,-,"$4,330,672",100%
201,No Escape,"$4,260,442","$167,962",3.9%,"$4,092,480",96.1%
202,Rams,"$4,255,210",-,-,"$4,255,210",100%
203,Superintelligence,"$4,134,214",-,-,"$4,134,214",100%
204,Thappad,"$4,112,382",-,-,"$4,112,382",100%
205,"Yes, I Do","$4,100,000",-,-,"$4,100,000",100%
206,Infidel,"$4,051,990","$4,051,990",100%,-,-
207,Asphalt Burning,"$3,989,896",-,-,"$3,989,896",100%
208,Bye Bye Morons,"$3,964,797",-,-,"$3,964,797",100%
209,The Empty Man,"$3,946,693","$2,992,948",75.8%,"$953,745",24.2%
210,Grand Blue,"$3,930,159",-,-,"$3,930,159",100%
211,25 lat niewinnosci. Sprawa Tomka Komendy,"$3,929,484",-,-,"$3,929,484",100%
212,Cats & Dogs 3: Paws Unite,"$3,865,513",-,-,"$3,865,513",100%
213,"Yakari, a Spectacular Journey","$3,790,930",-,-,"$3,790,930",100%
214,André Rieu - 70 Years Young,"$3,714,938",-,-,"$3,714,938",100%
215,Figli,"$3,691,574",-,-,"$3,691,574",100%
216,Marafon zhelaniy,"$3,688,995",-,-,"$3,688,995",100%
217,Lassie Come Home,"$3,666,620",-,-,"$3,666,620",100%
218,Another Round,"$3,655,322",-,-,"$3,655,322",100%
219,Find Your Voice,"$3,634,579",-,-,"$3,634,579",100%
220,13rd Sister: Three Deadly Days,"$3,567,662",-,-,"$3,567,662",100%
221,Fate/Grand Order the Sacred Round Table Realm: Camelot,"$3,562,221",-,-,"$3,562,221",100%
222,The Elfkins,"$3,529,850",-,-,"$3,529,850",100%
223,Run,"$3,523,112",-,-,"$3,523,112",100%
224,Le lion,"$3,507,711",-,-,"$3,507,711",100%
225,Radioactive,"$3,505,369",-,-,"$3,505,369",100%
226,18 Presents,"$3,486,375",-,-,"$3,486,375",100%
227,Pretty Cure Miracle Leap the Movie,"$3,474,150",-,-,"$3,474,150",100%
228,Summer of 85,"$3,436,471",-,-,"$3,436,471",100%
229,I Wish Someone Were Waiting for Me Somewhere,"$3,403,477",-,-,"$3,403,477",100%
230,Two by Two: Overboard!,"$3,400,671",-,-,"$3,400,671",100%
231,Obratnaya svyaz,"$3,377,535",-,-,"$3,377,535",100%
232,The Last Full Measure,"$3,364,426","$2,949,212",87.7%,"$415,214",12.3%
233,The Rental,"$3,342,116","$1,637,548",49%,"$1,704,568",51%
234,2020 Oscar Nominated Short Films,"$3,306,611","$3,306,611",100%,-,-
235,Far Too Personal,"$3,272,428",-,-,"$3,272,428",100%
236,Voice of Silence,"$3,271,053",-,-,"$3,271,053",100%
237,Ava,"$3,262,490","$497,747",15.3%,"$2,764,743",84.7%
238,Arab Blues,"$3,203,320",-,-,"$3,203,320",100%
239,The Secret: Dare to Dream,"$3,184,114",-,-,"$3,184,114",100%
240,Samsam,"$3,180,721","$53,273",1.7%,"$3,127,448",98.3%
241,The Lodge,"$3,155,858","$2,138,907",67.8%,"$1,016,951",32.2%
242,Petla,"$3,144,572",-,-,"$3,144,572",100%
243,Star Wars: Episode V - The Empire Strikes Back 2020 Re-release,"$3,136,150","$2,482,000",79.1%,"$654,150",20.9%
244,Dreambuilders,"$3,112,086",-,-,"$3,112,086",100%
245,Words on Bathroom Walls,"$3,075,107","$2,542,518",82.7%,"$532,589",17.3%
