Rank,Release Group,Worldwide,Domestic,%,Foreign,%
370,Baba Yaga: Terror of the Dark Forest,"$1,230,184",-,-,"$1,230,184",100%
371,Mishima: The Last Debate,"$1,229,264",-,-,"$1,229,264",100%
372,Boutchou,"$1,227,428",-,-,"$1,227,428",100%
373,Jaanu,"$1,221,813",-,-,"$1,221,813",100%
374,Golkeri,"$1,219,801",-,-,"$1,219,801",100%
375,Marche avec les loups,"$1,219,228",-,-,"$1,219,228",100%
376,Fabrizio De Andrè & PFM - Il concerto ritrovato,"$1,216,390",-,-,"$1,216,390",100%
377,The Final Stand,"$1,216,018",-,-,"$1,216,018",100%
378,Alla Pugachyova. Tot Samyi Kontsert,"$1,213,396",-,-,"$1,213,396",100%
379,True to the Game 2,"$1,181,823","$1,181,823",100%,-,-
380,The Way We Are,"$1,166,324",-,-,"$1,166,324",100%
381,Farewell: Comedy of Life Begins with A Lie,"$1,162,920",-,-,"$1,162,920",100%
382,Padrenostro,"$1,160,718",-,-,"$1,160,718",100%
383,De Club van Sinterklaas & het Grote Pietenfeest,"$1,151,632",-,-,"$1,151,632",100%
384,Monster Strike the Movie: Lucifer - Zetsubou no Yoake,"$1,150,799",-,-,"$1,150,799",100%
385,Hinatazaka46 Documentary Movie: Debut After 3 Years,"$1,143,074",-,-,"$1,143,074",100%
386,Hope Gap,"$1,134,415","$104,732",9.2%,"$1,029,683",90.8%
387,Mother,"$1,123,459",-,-,"$1,123,459",100%
388,"Goodbye, America","$1,123,335",-,-,"$1,123,335",100%
389,Shikara,"$1,109,387",-,-,"$1,109,387",100%
390,The Vigil,"$1,107,828",-,-,"$1,107,828",100%
391,Anjaam Pathiraa,"$1,106,211",-,-,"$1,106,211",100%
392,On the Edge,"$1,091,203",-,-,"$1,091,203",100%
393,Bábovky,"$1,089,817",-,-,"$1,089,817",100%
394,Chal Mera Putt 2,"$1,070,997","$445,000",41.6%,"$625,997",58.4%
395,Love and Monsters,"$1,070,714","$1,070,714",100%,-,-
396,Selfie,"$1,051,848",-,-,"$1,051,848",100%
397,Becky,"$1,045,873","$1,003,700",96%,"$42,173",4%
398,Adorables,"$1,043,185",-,-,"$1,043,185",100%
399,The Last Shift,"$1,035,128","$1,034,467",99.9%,$661,<0.1%
400,Guns Akimbo,"$1,034,769",-,-,"$1,034,769",100%
401,Keep Your Hands Off Eizouken!,"$1,034,117",-,-,"$1,034,117",100%
402,Ask Tesadüfleri Sever 2,"$1,033,730",-,-,"$1,033,730",100%
403,Fjols til Fjells,"$1,031,512",-,-,"$1,031,512",100%
404,Havel,"$1,024,686",-,-,"$1,024,686",100%
405,Legally Declared Dead,"$1,024,495",-,-,"$1,024,495",100%
406,Color Out of Space,"$1,023,510","$765,561",74.8%,"$257,949",25.2%
407,Synchronic,"$1,021,844","$636,673",62.3%,"$385,171",37.7%
408,Deeper!,"$1,014,750",-,-,"$1,014,750",100%
409,Love Sarah,"$1,013,792",-,-,"$1,013,792",100%
410,Dreams 2020 Re-release,"$1,006,954",-,-,"$1,006,954",100%
411,Rundfunk: Jachterwachter,"$995,992",-,-,"$995,992",100%
412,On the Rocks,"$992,103",-,-,"$992,103",100%
413,I'm Livin' It,"$989,423",-,-,"$989,423",100%
414,Ella Bella Bingo,"$983,983",-,-,"$983,983",100%
415,Kruimeltje,"$981,341",-,-,"$981,341",100%
416,Drama Queen,"$972,116",-,-,"$972,116",100%
417,Babyteeth,"$967,220","$4,507",0.5%,"$962,713",99.5%
418,A Childhood 2020 Re-release,"$950,606",-,-,"$950,606",100%
419,The Demon Inside,"$949,386",-,-,"$949,386",100%
420,Tobulas Pasimatymas,"$947,455",-,-,"$947,455",100%
421,The Ties,"$940,737",-,-,"$940,737",100%
422,Riverdance 25th Anniversary Show,"$932,063","$81,879",8.8%,"$850,184",91.2%
423,Given,"$930,363",-,-,"$930,363",100%
424,The Perilous Internet Ring,"$930,000",-,-,"$930,000",100%
425,At the Dacha,"$928,742",-,-,"$928,742",100%
426,Énorme,"$928,576",-,-,"$928,576",100%
427,The Lion King 2020 Re-release,"$927,592",-,-,"$927,592",100%
428,La Foquita: El 10 de la calle,"$912,491",-,-,"$912,491",100%
429,The Nest,"$904,737","$137,886",15.2%,"$766,851",84.8%
430,Possessor,"$903,290","$752,885",83.3%,"$150,405",16.7%
431,Secret × Heroine Phantomirage!: Eiga ni Natte Chodaishimasu,"$899,992",-,-,"$899,992",100%
432,Night of the Undead,"$890,148",-,-,"$890,148",100%
433,Mafia Inc,"$889,863","$889,863",100%,-,-
434,National Lampoon's Christmas Vacation 2020 Re-release,"$889,500","$871,000",97.9%,"$18,500",2.1%
435,Hidden Away,"$882,746",-,-,"$882,746",100%
436,Dwelling in the Fuchun Mountains,"$877,336",-,-,"$877,336",100%
437,Royal Opera House Live Cinema Season 2019/20: The Sleeping Beauty,"$867,186",-,-,"$867,186",100%
438,Cut Throat City,"$864,928","$855,894",99%,"$9,034",1%
439,Mine de rien,"$864,767",-,-,"$864,767",100%
440,Capone,"$858,281",-,-,"$858,281",100%
441,Blackbird,"$852,088",-,-,"$852,088",100%
442,De Grote Sinterklaasfilm,"$851,503",-,-,"$851,503",100%
443,Sol,"$849,404",$327,<0.1%,"$849,077",100%
444,Endless,"$846,294",-,-,"$846,294",100%
445,One in A Hundred Thousand,"$841,737",-,-,"$841,737",100%
446,Mad Max: Fury Road 2020 Re-release,"$828,611",-,-,"$828,611",100%
447,The Grinch 2020 Re-release,"$828,384","$420,781",50.8%,"$407,603",49.2%
448,Undine,"$823,241",-,-,"$823,241",100%
449,Importinis jaunikis,"$819,278",-,-,"$819,278",100%
450,Un pays qui se tient sage,"$805,985",-,-,"$805,985",100%
451,Buddy Games,"$800,617","$405,904",50.7%,"$394,713",49.3%
452,The Call,"$797,604","$516,521",64.8%,"$281,083",35.2%
453,Shortcut,"$793,084","$793,084",100%,-,-
454,My Name Is Francesco Totti,"$781,555",-,-,"$781,555",100%
455,Summerland,"$779,226","$58,498",7.5%,"$720,728",92.5%
456,Diva,"$777,542",-,-,"$777,542",100%
457,Grease 2020 Re-release,"$773,974","$102,000",13.2%,"$671,974",86.8%
458,Jaws 2020 Re-release,"$773,250","$758,300",98.1%,"$14,950",1.9%
459,A Nice Girl Like You,"$769,234",-,-,"$769,234",100%
460,Palm Springs,"$765,535","$164,000",21.4%,"$601,535",78.6%
461,Toy Story 2020 Re-release,"$762,616","$727,000",95.3%,"$35,616",4.7%
462,Waiting for the Barbarians,"$761,361",-,-,"$761,361",100%
463,Psycho Pass 3: First Inspector,"$757,096",-,-,"$757,096",100%
464,The Shining 40th Anniversary,"$753,254",-,-,"$753,254",100%
465,Engel,"$751,834",-,-,"$751,834",100%
466,Adolescents,"$751,655",-,-,"$751,655",100%
467,Perdida,"$750,192",-,-,"$750,192",100%
468,Never Too Late,"$735,604",-,-,"$735,604",100%
469,"Monsters, Inc. 2020 Re-release","$726,000","$726,000",100%,-,-
470,Step,"$725,513",-,-,"$725,513",100%
471,Miss,"$724,554",-,-,"$724,554",100%
472,Horizon Line,"$721,274",-,-,"$721,274",100%
473,The Santa Clause 2020 Re-release,"$719,342","$706,000",98.1%,"$13,342",1.9%
474,Z,"$719,318",-,-,"$719,318",100%
475,The Addams Family 2020 Re-release,"$716,925","$678,926",94.7%,"$37,999",5.3%
476,J'irai Mourir Dans Les Carpates,"$715,963",-,-,"$715,963",100%
477,The Polar Express 2020 Re-release,"$715,021","$711,000",99.4%,"$4,021",0.6%
478,The Climb,"$711,639","$234,429",32.9%,"$477,210",67.1%
479,Ghostbusters 2020 Re-release,"$706,606","$605,000",85.6%,"$101,606",14.4%
480,Tonkatsu DJ Age-Taro,"$698,683",-,-,"$698,683",100%
481,Patterns of Evidence: The Red Sea Miracle,"$696,191","$696,191",100%,-,-
482,A Call to Spy,"$695,881","$159,014",22.9%,"$536,867",77.1%
483,Varane Avashyamund,"$694,187",-,-,"$694,187",100%
484,Cuties,"$692,459",-,-,"$692,459",100%
485,Bon Bini: Judeska in da House,"$690,397",-,-,"$690,397",100%
486,The Last Vermeer,"$685,380","$685,380",100%,-,-
487,Black Panther 2020 Re-release,"$684,812","$367,000",53.6%,"$317,812",46.4%
488,The Burnt Orange Heresy,"$676,212","$144,201",21.3%,"$532,011",78.7%
489,Into the World,"$672,729",-,-,"$672,729",100%
490,Four Kids and It,"$672,438",-,-,"$672,438",100%
491,My Prince Edward,"$667,735",-,-,"$667,735",100%
492,The Assent,"$666,086",-,-,"$666,086",100%
493,Akira 2020 Re-release,"$664,583",-,-,"$664,583",100%
494,Black Water: Abyss,"$658,110",-,-,"$658,110",100%
495,Locos de Amor 3,"$657,239",-,-,"$657,239",100%
496,Besser Welt als Nie,"$647,588",-,-,"$647,588",100%
497,461 Days of Bento,"$647,074",-,-,"$647,074",100%
498,Odin vdokh,"$644,262",-,-,"$644,262",100%
499,Alone,"$643,988","$537,589",83.5%,"$106,399",16.5%
500,Andra Sidan,"$642,181",-,-,"$642,181",100%
501,Herons,"$638,984",-,-,"$638,984",100%
502,Force of Nature,"$638,221",-,-,"$638,221",100%
503,The Wishmas Tree,"$632,013",-,-,"$632,013",100%
504,Ala Vaikunthapurramuloo,"$631,683",-,-,"$631,683",100%
505,Mermaid in Paris,"$630,987","$1,988",0.3%,"$628,999",99.7%
506,David Attenborough: A Life on Our Planet,"$627,209",-,-,"$627,209",100%
507,Nurse 3D 2020 Re-release,"$626,386",-,-,"$626,386",100%
508,Space Dogs: Tropical Adventure,"$624,859",-,-,"$624,859",100%
509,Laxmii,"$623,913",-,-,"$623,913",100%
510,Dianas bryllup,"$619,621",-,-,"$619,621",100%
511,V siti 18+,"$616,422",-,-,"$616,422",100%
512,Sisters: The Summer We Found Our Superpowers,"$614,622",-,-,"$614,622",100%
513,Stevie Nicks 24 Karat Gold the Concert,"$613,455","$410,265",66.9%,"$203,190",33.1%
514,"Sí, Mi Amor","$613,049",-,-,"$613,049",100%
515,High School Fleet the Movie,"$609,346",-,-,"$609,346",100%
516,The Secrets We Keep,"$604,104","$207,928",34.4%,"$396,176",65.6%
517,Rocks,"$598,859",-,-,"$598,859",100%
518,Seberg,"$585,845","$434,702",74.2%,"$151,143",25.8%
519,Inmate Zero,"$581,583",-,-,"$581,583",100%
520,The Superdeep,"$580,409",-,-,"$580,409",100%
521,Patlabor: The Movie,"$578,959",-,-,"$578,959",100%
522,Dance of the 41,"$578,919",-,-,"$578,919",100%
523,Guardians of the Galaxy 2020 Re-release,"$573,528","$542,000",94.5%,"$31,528",5.5%
524,Christmas at Cattle Hill,"$564,401",-,-,"$564,401",100%
525,Baby Done,"$554,797",-,-,"$554,797",100%
526,Egg,"$554,295",-,-,"$554,295",100%
527,"Josee, the Tiger and the Fish 2020 Re-release","$552,832",-,-,"$552,832",100%
528,Woman,"$552,034",-,-,"$552,034",100%
529,Back to the Future 2020 Re-release,"$550,276","$247,000",44.9%,"$303,276",55.1%
530,Followed,"$548,608","$538,179",98.1%,"$10,429",1.9%
531,Trai Tim Quai Vat,"$548,175",-,-,"$548,175",100%
532,The Singer 2020 Re-release,"$546,017",-,-,"$546,017",100%
533,Suriname,"$544,343",-,-,"$544,343",100%
534,Beauty and the Beast 2020 Re-release,"$543,705","$467,000",85.9%,"$76,705",14.1%
535,The Case of the Dead Deadman,"$541,723",-,-,"$541,723",100%
536,Gledelig Jul,"$541,549",-,-,"$541,549",100%
537,André Rieu: Magical Maastricht,"$539,780",-,-,"$539,780",100%
538,Once Were Brothers: Robbie Robertson and the Band,"$536,534","$449,561",83.8%,"$86,973",16.2%
539,Corazón ardiente,"$531,633",-,-,"$531,633",100%
540,Fatima,"$528,344",-,-,"$528,344",100%
541,Hello Again 2020 Re-release,"$524,810",-,-,"$524,810",100%
542,Go Karts,"$520,191",-,-,"$520,191",100%
543,Miss Marx,"$515,838",-,-,"$515,838",100%
544,The Big Ugly,"$515,399","$514,107",99.7%,"$1,292",0.3%
545,The Widow,"$513,041",-,-,"$513,041",100%
546,The Thief of Baghdad,"$512,990",-,-,"$512,990",100%
547,Kaptan Pengu ve Arkadaslari,"$512,960",-,-,"$512,960",100%
548,Miniforce: Deeno the King of Dinosaurs,"$512,169",-,-,"$512,169",100%
549,Rifkin's Festival,"$512,116",-,-,"$512,116",100%
550,The Forgotten Carols,"$502,252","$502,252",100%,-,-
551,Monster Zone,"$501,061",-,-,"$501,061",100%
552,Spell,"$500,104","$500,104",100%,-,-
553,An American Pickle,"$499,649",-,-,"$499,649",100%
554,This Town,"$497,248",-,-,"$497,248",100%
555,23 Walks,"$496,672",-,-,"$496,672",100%
556,Banksterzy,"$491,075",-,-,"$491,075",100%
557,Trance,"$490,855",-,-,"$490,855",100%
558,The Macaluso Sisters,"$488,984",-,-,"$488,984",100%
559,A Son,"$484,291",-,-,"$484,291",100%
560,Dirt Music,"$483,445",-,-,"$483,445",100%
561,"Te quiero, imbécil","$482,113",-,-,"$482,113",100%
562,Pixie,"$479,317",-,-,"$479,317",100%
563,A Christmas Gift from Bob,"$478,912",-,-,"$478,912",100%
564,Magic Arch 3D,"$475,341",-,-,"$475,341",100%
565,True History of the Kelly Gang,"$467,198","$33,817",7.2%,"$433,381",92.8%
566,Tribute to Heroes,"$461,427",-,-,"$461,427",100%
567,Inside Out 2020 Re-release,"$460,176","$460,000",100%,$176,<0.1%
568,Wonder Woman 2020 Re-release,"$456,493","$252,000",55.2%,"$204,493",44.8%
569,A Spice for Life,"$456,206",-,-,"$456,206",100%
570,Enchanted Feather,"$452,513",-,-,"$452,513",100%
571,Burden,"$450,189","$139,270",30.9%,"$310,919",69.1%
572,Ammonite,"$445,302","$160,930",36.1%,"$284,372",63.9%
573,Zaklete pirko,"$445,004",-,-,"$445,004",100%
574,Don't Listen,"$443,458",-,-,"$443,458",100%
575,The Last Fishing Trip,"$442,701",-,-,"$442,701",100%
576,Lockdown all'italiana,"$440,786",-,-,"$440,786",100%
577,Cuidado con lo que deseas,"$438,748",-,-,"$438,748",100%
578,CatVideoFest 2020,"$437,625","$437,625",100%,-,-
579,Vivarium,"$434,030",-,-,"$434,030",100%
580,Iron Man 2020 Re-release,"$430,000","$430,000",100%,-,-
581,"Chien Pourri, la vie à Paris!","$429,793",-,-,"$429,793",100%
582,Infamous,"$429,148","$429,148",100%,-,-
583,You Came Back,"$425,813",-,-,"$425,813",100%
584,Sky Tour: The Movie,"$425,427",-,-,"$425,427",100%
585,Thou Shalt Not Hate,"$425,244",-,-,"$425,244",100%
586,Dreamchild,"$425,047",-,-,"$425,047",100%
587,Die Hard 2020 Re-release,"$423,221","$325,000",76.8%,"$98,221",23.2%
588,Dragevokteren,"$422,456",-,-,"$422,456",100%
589,The Jack in the Box,"$420,315",-,-,"$420,315",100%
590,The Dark and the Wicked,"$419,091","$154,169",36.8%,"$264,922",63.2%
591,The Ghoul: Horror At The Howling Field,"$414,862",-,-,"$414,862",100%
592,Whiplash 2020 Re-release,"$414,706",-,-,"$414,706",100%
593,SIX60: Till the Lights Go Out,"$414,030",-,-,"$414,030",100%
594,Jai Mummy Di,"$413,764",-,-,"$413,764",100%
595,Tulsa,"$413,378","$413,378",100%,-,-
596,Behind You,"$412,174",-,-,"$412,174",100%
597,The Painter and the Thief,"$411,670",-,-,"$411,670",100%
598,Zengo,"$409,418",-,-,"$409,418",100%
599,Think Like a Dog,"$406,684",-,-,"$406,684",100%
600,Your Eyes on Me,"$405,856",-,-,"$405,856",100%
601,Tesla,"$401,294","$93,147",23.2%,"$308,147",76.8%
602,Mio's Cookbook,"$399,142",-,-,"$399,142",100%
603,She Dies Tomorrow,"$398,663","$398,663",100%,-,-
604,Mark of the Devil,"$396,624",-,-,"$396,624",100%
605,La mia banda suona il pop,"$389,470",-,-,"$389,470",100%
606,Sul più bello,"$388,737",-,-,"$388,737",100%
607,The Stolen Princess 2020 Re-release,"$383,116",-,-,"$383,116",100%
608,Alle utlendinger har lukka gardiner,"$382,459",-,-,"$382,459",100%
609,Twilight's Kiss,"$379,273",-,-,"$379,273",100%
610,Servant,"$375,252",-,-,"$375,252",100%
611,Cinema Paradiso 2020 Re-release,"$373,967",-,-,"$373,967",100%
612,Irresistible,"$371,962",-,-,"$371,962",100%
613,The Banger,"$370,388",-,-,"$370,388",100%
614,V Síti: Za Skolou,"$369,226",-,-,"$369,226",100%
615,El Club de los Idealistas,"$368,991",-,-,"$368,991",100%
616,Dime Cuándo Tú,"$368,713",-,-,"$368,713",100%
617,The Kid Detective,"$367,890","$364,138",99%,"$3,752",1%
618,Yellow Rose,"$367,849","$367,849",100%,-,-
619,Burraco fatale,"$367,655",-,-,"$367,655",100%
620,"Fafner In The Azure The Beyond Episodes 7, 8 And 9","$367,582",-,-,"$367,582",100%
621,Budapest Heist,"$362,921",-,-,"$362,921",100%
622,Adam,"$362,300",-,-,"$362,300",100%
623,Princess Lost in Time,"$361,028",-,-,"$361,028",100%
624,Tsoi,"$360,648",-,-,"$360,648",100%
625,Buladó,"$359,807",-,-,"$359,807",100%
626,Filles de joie,"$355,614",-,-,"$355,614",100%
627,"Yalda, a Night for Forgivness","$354,395",-,-,"$354,395",100%
628,Dreamkatcher,"$353,372",-,-,"$353,372",100%
629,The Bridge Curse,"$352,336",-,-,"$352,336",100%
630,Lethal Kittens,"$350,515",-,-,"$350,515",100%
631,Michael Ball & Alfie Boe Back Together,"$348,660",-,-,"$348,660",100%
632,I Am Woman,"$347,279",-,-,"$347,279",100%
633,Sizeless Love,"$345,904",-,-,"$345,904",100%
634,Ghosts of War,"$345,289",-,-,"$345,289",100%
635,Stestí je krásná vec,"$344,395",-,-,"$344,395",100%
636,Pekel'na Khorugva Abo Rizdvo Kozatske,"$343,199",-,-,"$343,199",100%
637,Slim & I,"$334,386",-,-,"$334,386",100%
638,"Paolo Conte, via con me","$330,052",-,-,"$330,052",100%
639,The Legend of 1900 2020 Re-release,"$328,821",-,-,"$328,821",100%
640,The Lord of the Rings: The Fellowship of the Ring 2020 Re-release,"$326,266",-,-,"$326,266",100%
641,Masha and the Bear: Bolshoe puteshestvie,"$326,179",-,-,"$326,179",100%
642,Invisible Evidence,"$324,791",-,-,"$324,791",100%
643,About Endlessness,"$323,607",-,-,"$323,607",100%
644,Persian Lessons,"$323,595",-,-,"$323,595",100%
645,Azmah Maliah,"$323,017",-,-,"$323,017",100%
646,Fierce,"$322,706",-,-,"$322,706",100%
647,Memento 2020 Re-release,"$322,615",-,-,"$322,615",100%
648,Do You Love Me As I Love You,"$322,594",-,-,"$322,594",100%
649,The Self Portrait,"$322,339",-,-,"$322,339",100%
650,Against the Devil,"$321,551",-,-,"$321,551",100%
651,Krasotka!,"$309,966",-,-,"$309,966",100%
652,Sputnik,"$307,062","$18,853",6.1%,"$288,209",93.9%
653,Attila,"$303,997",-,-,"$303,997",100%
654,Inheritance,"$303,408",-,-,"$303,408",100%
655,The Night Clerk,"$302,127",-,-,"$302,127",100%
656,And Tomorrow the Entire World,"$302,101",-,-,"$302,101",100%
657,Dreamland,"$301,407",-,-,"$301,407",100%
658,Doctor Lisa,"$301,186",-,-,"$301,186",100%
659,Save Yourselves!,"$301,162","$301,162",100%,-,-
660,Never Rarely Sometimes Always,"$299,588","$16,565",5.5%,"$283,023",94.5%
661,Gremlins 2020 Re-release,"$299,113","$295,000",98.6%,"$4,113",1.4%
662,Freies Land,"$297,983",-,-,"$297,983",100%
663,La Llorona,"$294,404",-,-,"$294,404",100%
664,Shinigami: The Death Handler,"$294,271",-,-,"$294,271",100%
665,An Irrepressible Woman,"$294,102",-,-,"$294,102",100%
666,Resistance,"$292,888","$7,464",2.5%,"$285,424",97.5%
667,Jackie & Oopjen,"$291,632",-,-,"$291,632",100%
668,Awoken,"$291,390",-,-,"$291,390",100%
669,Romantic Road,"$291,225",-,-,"$291,225",100%
670,Citizens of the World,"$287,545",-,-,"$287,545",100%
671,In My Blood It Runs,"$287,354",-,-,"$287,354",100%
672,Zenská pomsta,"$287,350",-,-,"$287,350",100%
673,"Calamity, a Childhood of Martha Jane Cannary","$287,349",-,-,"$287,349",100%
674,Troe,"$284,356",-,-,"$284,356",100%
675,Trash,"$284,200",-,-,"$284,200",100%
676,Sufna,"$283,196",-,-,"$283,196",100%
677,Created Equal: Clarence Thomas in His Own Words,"$282,149","$282,149",100%,-,-
678,Listen,"$281,807",-,-,"$281,807",100%
679,Death of Me,"$280,976",-,-,"$280,976",100%
680,The Silence of the Marsh,"$279,983",-,-,"$279,983",100%
681,Divorzio a Las Vegas,"$277,151",-,-,"$277,151",100%
682,Eyes on Me: The Movie,"$275,799",-,-,"$275,799",100%
683,Lux Æterna,"$275,591",-,-,"$275,591",100%
684,Swallow,"$274,259","$33,419",12.2%,"$240,840",87.8%
685,Love Actually 2020 Re-release,"$271,401",-,-,"$271,401",100%
686,Blithe Spirit,"$270,440",-,-,"$270,440",100%
687,Forensic,"$269,095",-,-,"$269,095",100%
688,An American in Paris 2020 Re-release,"$267,824","$267,824",100%,-,-
689,Captain America: Civil War 2020 Re-release,"$265,356",-,-,"$265,356",100%
690,Lingering,"$265,265",-,-,"$265,265",100%
691,Baseball Girl,"$261,841",-,-,"$261,841",100%
692,The Doorman,"$259,883",-,-,"$259,883",100%
693,Modelar,"$259,621",-,-,"$259,621",100%
694,Shirley,"$258,736",-,-,"$258,736",100%
695,Amma Hófí,"$257,430",-,-,"$257,430",100%
696,The Muppet Christmas Carol 2020 Re-release,"$255,064","$100,000",39.2%,"$155,064",60.8%
697,Berlin Alexanderplatz,"$254,468",-,-,"$254,468",100%
698,Tarapaty 2,"$253,263",-,-,"$253,263",100%
699,Deception 2020 Re-release,"$252,039",-,-,"$252,039",100%
700,Viddana,"$251,997",-,-,"$251,997",100%
701,Hacked,"$246,996",-,-,"$246,996",100%
702,La Liga de los 5,"$244,743",-,-,"$244,743",100%
703,Low Season,"$244,704",-,-,"$244,704",100%
704,The Bee Gees: How Can You Mend a Broken Heart,"$244,194",-,-,"$244,194",100%
705,Rogue,"$242,884",-,-,"$242,884",100%
706,Archive,"$242,195","$139,593",57.6%,"$102,602",42.4%
707,Vikend sa caletom,"$241,523",-,-,"$241,523",100%
708,The Trip to Greece,"$240,165","$8,340",3.5%,"$231,825",96.5%
709,The Lord of the Rings: The Return of the King 2020 Re-release,"$237,586",-,-,"$237,586",100%
710,Tokyo Godfathers 2020 Re-release,"$237,571","$237,571",100%,-,-
711,Wild Mountain Thyme,"$237,450","$213,440",89.9%,"$24,010",10.1%
712,Jungle Beat: The Movie,"$237,312",-,-,"$237,312",100%
713,Star Wars: Episode IV - A New Hope 2020 Re-release,"$237,148",-,-,"$237,148",100%
714,Felicità,"$236,880",-,-,"$236,880",100%
715,Blind Eyes Opened,"$234,505","$234,505",100%,-,-
716,I Am Greta,"$234,204",-,-,"$234,204",100%
717,Tempos,"$233,968",-,-,"$233,968",100%
718,Alva Og Regnbuedragen,"$233,397",-,-,"$233,397",100%
719,Narcissus and Goldmund,"$233,325",-,-,"$233,325",100%
720,U311 Cherkasy,"$233,284",-,-,"$233,284",100%
721,Toei Manga Matsuri 2020,"$231,148",-,-,"$231,148",100%
722,Star Wars: Episode VII - The Force Awakens 2020 Re-release,"$230,509",-,-,"$230,509",100%
723,Wolfwalkers,"$229,041",-,-,"$229,041",100%
724,Doctor Who Live Q&A And Screening,"$228,615","$228,615",100%,-,-
725,Big Brother,"$228,014",-,-,"$228,014",100%
726,Sahane Hayaller,"$226,809",-,-,"$226,809",100%
727,Tootsies & the Fake,"$224,766",-,-,"$224,766",100%
728,Reshala. Nulevye,"$224,764",-,-,"$224,764",100%
729,The Room 2020 Re-release,"$224,730",-,-,"$224,730",100%
730,Survive the Night,"$219,886",-,-,"$219,886",100%
731,Lucky Chan-sil,"$219,623",-,-,"$219,623",100%
732,Eléonore,"$217,529",-,-,"$217,529",100%
733,Frozen 2020 Re-release,"$216,993","$215,000",99.1%,"$1,993",0.9%
734,Dogtooth 2020 Re-release,"$216,591",-,-,"$216,591",100%
735,Thor: Ragnarok 2020 Re-release,"$212,258",-,-,"$212,258",100%
736,Vergeet my nie,"$210,386",-,-,"$210,386",100%
737,David Byrne's American Utopia,"$208,852",-,-,"$208,852",100%
738,Furious 7 2020 Re-release,"$207,951",-,-,"$207,951",100%
739,The Whaler Boy,"$207,853",-,-,"$207,853",100%
740,Feel the Beat,"$207,678",-,-,"$207,678",100%
741,Vernacular plan,"$207,276",-,-,"$207,276",100%
742,Dirty Dancing,"$206,097",-,-,"$206,097",100%
743,Get Out 2020 Re-release,"$204,381",-,-,"$204,381",100%
744,The Terminator,"$204,360",-,-,"$204,360",100%
745,My Days of Glory,"$204,055",-,-,"$204,055",100%
746,Two of Us,"$203,228",-,-,"$203,228",100%
747,Bad Tales,"$202,560",-,-,"$202,560",100%
748,In the Name of Love,"$202,474",-,-,"$202,474",100%
749,Billie,"$201,200",-,-,"$201,200",100%
750,Suraj Pe Mangal Bhari,"$200,802",-,-,"$200,802",100%
751,Uncle Vanya,"$199,461",-,-,"$199,461",100%
752,Star Wars: Episode VI - Return of the Jedi 2020 Re-release,"$199,348",-,-,"$199,348",100%
753,The Owners,"$198,598",-,-,"$198,598",100%
754,Oeconomia,"$198,158",-,-,"$198,158",100%
755,Harry Potter and the Deathly Hallows: Part 2 2020 Re-release,"$195,826",-,-,"$195,826",100%
756,Batman Begins 2020 Re-release,"$195,729",-,-,"$195,729",100%
757,Agir Romantik,"$193,612",-,-,"$193,612",100%
758,Meky,"$192,381",-,-,"$192,381",100%
759,The Silent Forest,"$190,404",-,-,"$190,404",100%
760,The Doors: Break On Thru - A Celebration Of Ray Manzarek,"$190,160","$190,160",100%,-,-
761,The Hero Battle,"$190,035",-,-,"$190,035",100%
762,Deadly Illusions,"$188,864",-,-,"$188,864",100%
763,The Predators,"$188,464",-,-,"$188,464",100%
764,Captain Marvel 2020 Re-release,"$188,178",-,-,"$188,178",100%
765,Beating Heart,"$187,953",-,-,"$187,953",100%
766,The Prom,"$187,430",-,-,"$187,430",100%
767,Sea Fever,"$185,447",-,-,"$185,447",100%
768,We Summon the Darkness,"$185,425","$60,794",32.8%,"$124,631",67.2%
769,The Wolf of Snow Hollow,"$185,026","$185,026",100%,-,-
770,Alien 2020 Re-release,"$184,354","$135,000",73.2%,"$49,354",26.8%
771,Lucky Grandma,"$183,729","$102,000",55.5%,"$81,729",44.5%
772,The Postcard Killings,"$181,415",-,-,"$181,415",100%
773,Six Minutes to Midnight,"$181,216",-,-,"$181,216",100%
774,Blade Runner 2020 Re-release,"$179,967",-,-,"$179,967",100%
775,Classic Again,"$175,027",-,-,"$175,027",100%
776,The Booksellers,"$175,003","$25,694",14.7%,"$149,309",85.3%
777,Rassegna Cinematografica,"$174,464",-,-,"$174,464",100%
778,Hola pravda,"$174,204",-,-,"$174,204",100%
779,Night Ride,"$173,798",-,-,"$173,798",100%
780,The Warden,"$173,274",-,-,"$173,274",100%
781,Idiot Prayer,"$168,953",-,-,"$168,953",100%
782,Hypnosis,"$168,743",-,-,"$168,743",100%
783,The Godfather: Part III 2020 Re-release,"$168,246","$95,330",56.7%,"$72,916",43.3%
784,Blue Hour,"$166,334",-,-,"$166,334",100%
785,The Lost Boys 2020 Re-release,"$166,331",-,-,"$166,331",100%
786,Ghost 30th Anniversary,"$163,987",-,-,"$163,987",100%
787,Cruel Peter,"$163,925",-,-,"$163,925",100%
788,Klovn the Final,"$163,603",-,-,"$163,603",100%
789,Little Mix: LM5 - The Tour Film,"$161,260",-,-,"$161,260",100%
790,Halloween 2020 Re-release,"$160,000","$160,000",100%,-,-
791,Dawn of the Dead,"$159,822",-,-,"$159,822",100%
792,Star Wars: Episode VIII - The Last Jedi 2020 Re-release,"$158,941",-,-,"$158,941",100%
